feature,importance_mean_mae_increase,importance_std,feature_group
category,0.33177154390529473,0.019065266280576452,商品类别
store_id_str,0.27107956522240156,0.025925973054098304,门店
wind_power,0.2503015868257792,0.020892634400827198,风力
product_id_str,0.24547757588844382,0.025942477784237535,商品
temperature_range,0.1692465774799432,0.13128689667982577,昼夜温差
is_activity_day,0.05086576443543493,0.010497116570538156,活动日
is_holiday,0.0,0.0,节假日
month,0.0,0.0,月份
is_weekend,-4.1771808227730745e-05,0.001755670943060887,周末
avg_temperature,-0.00044484003713165523,0.004451560340420908,平均温度
weather_group,-0.00514415719461403,0.0034101931029504075,天气
weekday,-0.015202835675220693,0.00755488344428745,星期
